img-tag src,goods-img-url href,goods-img src,goods-img src (2),goods-img-url href (3),goods-img src (3),goods-img-url href (4),goods-img src (4),goods-img-url href (5),goods-img src (5),goods-img-url href (6),goods-img src (6),sloganTitle,prdName,totalSales,price,number,cp,cp (2),img-act-tag,goods-img-url href (7),goods-img src (7),goods-img-url href (8),goods-img src (8),goods-img-url href (9),goods-img src (9),goods-img-url href (10),goods-img src (10),h-[18px] src,discountTxt,goods-img-url href (11),goods-img src (11),goods-img-url href (12),goods-img src (12),goods-img-url href (13),goods-img src (13),goods-img src (14),price (2),img-tag src (2),img-act-tag (2),h-[18px] src (2)
https://img2.momoshop.com.tw/ecm/img/online/341/2025/12/12/154009070/2025121215400907003.png?t=20251212154009,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13326964&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%89%8B%E9%8C%B6,https://i3.momoshop.com.tw/1744434141/goodsimg/0013/326/964/13326964_OR_m.webp,https://img1.momoshop.com.tw/goodsimg/0013/326/964/13326964_L.jpg?t=1744434141,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13326964&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%89%8B%E9%8C%B6,https://img1.momoshop.com.tw/goodsimg/0013/326/964/13326964_L1.jpg?t=1744434141,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13326964&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%89%8B%E9%8C%B6,https://img1.momoshop.com.tw/goodsimg/0013/326/964/13326964_L2.jpg?t=1744434141,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13326964&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%89%8B%E9%8C%B6,https://img1.momoshop.com.tw/goodsimg/0013/326/964/spec/13326964_01_001_R.jpg?t=?t=1744434141,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13326964&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%89%8B%E9%8C%B6,https://img1.momoshop.com.tw/goodsimg/0013/326/964/spec/13326964_01_002_R.jpg?t=?t=1744434141,滿2件享97折,【小米】官方旗艦館 Redmi Watch 5 Active,總銷量>1萬,795,(880),速,登記,,,,,,,,,,,,,,,,,,,,,,
https://img3.momoshop.com.tw/ecm/img/online/341/2025/12/12/154009070/2025121215400907003.png?t=20251212154009,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13313523&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E6%89%8B%E9%8C%B6,https://i3.momoshop.com.tw/1736917315/goodsimg/0013/313/523/13313523_OR_m.webp,https://img1.momoshop.com.tw/goodsimg/0013/313/523/13313523_L.jpg?t=1736917315,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13313523&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E6%89%8B%E9%8C%B6,https://img1.momoshop.com.tw/goodsimg/0013/313/523/spec/13313523_01_001_R.jpg?t=?t=1736917315,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13313523&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E6%89%8B%E9%8C%B6,https://img1.momoshop.com.tw/goodsimg/0013/313/523/spec/13313523_01_002_R.jpg?t=?t=1736917315,,,,,滿2件享97折,【小米】官方旗艦館 Redmi Watch 5 Lite,"總銷量>5,000","1,295",(362),速,登記,,,,,,,,,,,,,,,,,,,,,,
https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/bottomIcon_v2.png,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i8.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/TP00012040000352_O_m.jpg,https://i6.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/TP00012040000352_R_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i8.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/TP00012040000352_R1_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i6.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/TP00012040000352_R2_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i7.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/TP00012040000352_R3_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i5.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/TP00012040000352_R4_m.jpg,適合當你運動外出的好幫手,【DTAudio】DTA-P100 運動手錶(數字運動手錶 跑步運動錶 防水手錶 男女款 卡路里 電子錶 登山 戶外),,425,(5),登記,,免運券,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i8.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/TP00012040000352_R5_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i7.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/spec/TP00012040000352_01_001_L.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i8.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/spec/TP00012040000352_01_002_L.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,https://i5.momoshop.com.tw/1749532854/goodsimg/TP000/1204/0000/352/spec/TP00012040000352_01_003_L.jpg,https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/Shop_16px.png,,,,,,,,,,,,
https://img2.momoshop.com.tw/ecm/img/online/341/2025/04/30/183954616/2025043018395461601.png?t=20250430183953,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14411699&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%89%8B%E9%8C%B6,https://i3.momoshop.com.tw/1756972435/goodsimg/0014/411/699/14411699_OR_m.webp,https://img1.momoshop.com.tw/goodsimg/0014/411/699/14411699_L.jpg?t=1756972435,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14411699&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%89%8B%E9%8C%B6,https://img1.momoshop.com.tw/goodsimg/0014/411/699/14411699_L1.jpg?t=1756972435,,,,,,,滿1件享95折,【Samsung 三星】A級福利品 Galaxy Watch FE 藍牙版 40mm 智慧手錶(R861),總銷量>50,"2,590",(5),速,登記,,,,,,,,,,,(售價已折),,,,,,,,,,,
https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/bottomIcon_v2.png,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i7.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/TP00012040000225_O_m.jpg,https://i5.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/TP00012040000225_R_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i5.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/TP00012040000225_R1_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i8.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/TP00012040000225_R2_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i5.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/TP00012040000225_R3_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i8.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/TP00012040000225_R4_m.jpg,自訂桌布、多款錶盤供下載,S50智能手錶(運動手錶 健康手錶 訊息通知 睡眠監測 智慧手錶 運動追蹤),總銷量>100,588,(5),登記,,免運券,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i5.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/TP00012040000225_R5_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i6.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/spec/TP00012040000225_01_001_L.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i5.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/spec/TP00012040000225_01_003_L.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i6.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/spec/TP00012040000225_01_004_L.jpg,https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/Shop_16px.png,,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,https://i8.momoshop.com.tw/1762740145/goodsimg/TP000/1204/0000/225/spec/TP00012040000225_01_005_L.jpg,,,,,,,,,
https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/bottomIcon_v2.png,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i5.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/TP00012040000293_O_m.jpg,https://i6.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/TP00012040000293_R_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i6.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/TP00012040000293_R1_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i5.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/TP00012040000293_R2_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i5.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/TP00012040000293_R3_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i8.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/TP00012040000293_R4_m.jpg,MK66X機身堅韌，功能豐富,【DTAudio】DTA WATCH MK66X 軍規級運動通話智能手錶(智慧型手錶 智慧手錶 智慧手環 smartwatch),,"1,019",(1),登記,,免運券,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i5.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/TP00012040000293_R5_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i8.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/spec/TP00012040000293_01_001_L.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i5.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/spec/TP00012040000293_01_002_L.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,https://i5.momoshop.com.tw/1763964826/goodsimg/TP000/1204/0000/293/spec/TP00012040000293_01_003_L.jpg,https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/Shop_16px.png,,,,,,,,,,,,
https://i8.momoshop.com.tw/1764400429/momoproimg/2025/1219/174/900/20251219174900_B.png,https://www.momoshop.com.tw/TP/TP0007253/goodsDetail/TP00072530000008,https://i5.momoshop.com.tw/1764400429/goodsimg/TP000/7253/0000/008/TP00072530000008_O_m.jpg,https://i6.momoshop.com.tw/1764400429/goodsimg/TP000/7253/0000/008/TP00072530000008_R_m.jpg,,,,,,,,,,【Samsung 三星】福利品 Galaxy Watch 3 41mm GPS SM-R850,,"1,900",,登記,,,,,,,,,,,https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/Shop_16px.png,,,,,,,,,,,,
https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/bottomIcon_v2.png,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i7.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/TP00012040000234_O_m.jpg,https://i6.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/TP00012040000234_R_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i8.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/TP00012040000234_R1_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i8.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/TP00012040000234_R2_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i6.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/TP00012040000234_R3_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i6.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/TP00012040000234_R4_m.jpg,IPS螢幕1.96吋高清解析度,MK66軍規運動智能手錶(台灣晶片 IP68防水抗震 IPS螢幕 瑞昱晶片 健康管理),,999,(5),登記,,免運券,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i5.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/TP00012040000234_R5_m.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i5.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/spec/TP00012040000234_01_001_L.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i5.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/spec/TP00012040000234_01_002_L.jpg,https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,https://i6.momoshop.com.tw/1763622079/goodsimg/TP000/1204/0000/234/spec/TP00012040000234_01_003_L.jpg,https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/Shop_16px.png,,,,,,,,,,,,
https://i8.momoshop.com.tw/1764401083/momoproimg/2025/1219/174/900/20251219174900_B.png,https://www.momoshop.com.tw/TP/TP0007253/goodsDetail/TP00072530000001,https://i8.momoshop.com.tw/1764401083/goodsimg/TP000/7253/0000/001/TP00072530000001_O.webp,https://i7.momoshop.com.tw/1764401083/goodsimg/TP000/7253/0000/001/TP00072530000001_R.webp,https://www.momoshop.com.tw/TP/TP0007253/goodsDetail/TP00072530000001,https://i8.momoshop.com.tw/1764401083/goodsimg/TP000/7253/0000/001/TP00072530000001_R1.webp,https://www.momoshop.com.tw/TP/TP0007253/goodsDetail/TP00072530000001,https://i5.momoshop.com.tw/1764401083/goodsimg/TP000/7253/0000/001/TP00072530000001_R2.webp,https://www.momoshop.com.tw/TP/TP0007253/goodsDetail/TP00072530000001,https://i8.momoshop.com.tw/1764401083/goodsimg/TP000/7253/0000/001/TP00072530000001_R3.webp,,,,【Samsung 三星】福利品 Galaxy Watch 3 45mm GPS SM-R840,,"2,600",,登記,,,,,,,,,,,https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/Shop_16px.png,,,,,,,,,,,,
,https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000606,https://i5.momoshop.com.tw/1755156037/goodsimg/TP000/3453/0000/606/TP00034530000606_O_m.jpg,https://i6.momoshop.com.tw/1755156037/goodsimg/TP000/3453/0000/606/TP00034530000606_R_m.jpg,https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000606,https://i8.momoshop.com.tw/1755156037/goodsimg/TP000/3453/0000/606/TP00034530000606_R1_m.jpg,https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000606,https://i8.momoshop.com.tw/1755156037/goodsimg/TP000/3453/0000/606/TP00034530000606_R2_m.jpg,https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000606,https://i7.momoshop.com.tw/1755156037/goodsimg/TP000/3453/0000/606/TP00034530000606_R3_m.jpg,https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000606,https://i6.momoshop.com.tw/1755156037/goodsimg/TP000/3453/0000/606/TP00034530000606_R4_m.jpg,7天超強續航,【HUAWEI 華為】WATCH GT5 41mm 馬鞍棕 (GT 5/智慧手錶/運動手錶/健康手錶),,"6,490",,折價券,登記,,https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000606,https://i8.momoshop.com.tw/1755156037/goodsimg/TP000/3453/0000/606/TP00034530000606_R5_m.jpg,,,,,,,https://image.momoshop.com.tw/ecm/img/cmm/goodsdetail/Shop_16px.png,,,,,,,,,,,,
https://img4.momoshop.com.tw/ecm/img/online/341/2025/12/12/154009070/2025121215400907003.png?t=20251212154009,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14434558&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E6%89%8B%E9%8C%B6,https://i4.momoshop.com.tw/1757568936/goodsimg/0014/434/558/14434558_OR_m.webp,https://img1.momoshop.com.tw/goodsimg/0014/434/558/14434558_L.jpg?t=1757568936,,,,,,,,,滿1件享87折,SW-A58 藍芽運動手錶首飾套組(藍芽通話 1.92吋高清螢幕 多種運動模式 健康監測 LINE來電通知 遙控拍照),,618,,登記,,,,,,,,,,,,(售價已折),,,,,,,,,,,
