contents href,inset-y-0 src,w-full src,line-clamp-2,mr-0_5 src,truncate,text-shopee-primary,truncate (2),truncate (3),flex-none src,text-shopee-black87,inline src,ml-[3px],opacity-0 href,truncate (4),pointer-events-none src,truncate (5),h-[12px] src
https://shopee.tw/%E3%80%90Warpple%E3%80%91%E6%B4%BE%E5%B0%8D%E8%BC%95%E5%8A%87%E9%99%A2-%E7%9F%AD%E7%84%A6%E9%9B%B2%E5%8F%B0K%E6%AD%8CHD%E6%99%BA%E6%85%A7%E6%8A%95%E5%BD%B1%E6%A9%9F-LA6-i.481711221.43472565157?extraParams=%7B%22display_model_id%22%3A254063255858%2C%22model_selection_logic%22%3A3%7D&sp_atk=e93b197f-affa-41e9-a86f-3e72e6a5ff70&xptdk=e93b197f-affa-41e9-a86f-3e72e6a5ff70,https://down-tw.img.susercontent.com/file/tw-11134207-81zth-mgrnmi5e0ikufc_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81zto-megk2dxoycjmf5,【Warpple】派對輕劇院 短焦雲台K歌HD智慧投影機 LA6,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/cd93fc9842b085896cfe.png,"4,999",8.8折,滿額8折,店到家宅配,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,臺南市南區,https://shopee.tw/find_similar_products?catid=100010&itemid=43472565157&shopid=481711221,,,,
https://shopee.tw/%E3%80%90Warpple%E3%80%91%E7%9C%9F1080P-%E9%AB%98%E9%80%8F%E5%85%89%E8%A1%8C%E5%8B%95%E8%BC%95%E5%8A%87%E9%99%A2-LS7-PRO-(%E5%A8%9B%E6%A8%82-%E9%9C%B2%E7%87%9F-%E6%88%B6%E5%A4%96-%E5%95%86%E7%94%A8-%E5%85%A7%E5%BB%BA%E9%9B%BB%E6%B1%A0)(%E4%B8%8B%E5%96%AE%E9%9A%94%E5%A4%A9%E5%87%BA%E8%B2%A8)-i.481711221.26162354710?extraParams=%7B%22display_model_id%22%3A241945466750%2C%22model_selection_logic%22%3A3%7D&sp_atk=b3d571c4-d5a4-4567-b718-063d2ebbdb91&xptdk=b3d571c4-d5a4-4567-b718-063d2ebbdb91,https://down-tw.img.susercontent.com/file/tw-11134207-81ztj-mgrnmsgd0gei00_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81zto-megk2dxoycjmf5,【Warpple】真1080P 高透光行動輕劇院 LS7 PRO (娛樂/露營/戶外/商用/內建電池)(下單隔天出貨),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/cd93fc9842b085896cfe.png,"4,999",6.3折,滿額8折,店到家宅配,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,臺南市南區,https://shopee.tw/find_similar_products?catid=100010&itemid=26162354710&shopid=481711221,,,,
https://shopee.tw/%E3%80%90OVO%E3%80%91%E8%A1%8C%E5%8B%95%E8%87%B3%E5%B0%8A%E6%99%BA%E6%85%A7%E6%8A%95%E5%BD%B1%E6%A9%9F-U10(24%E6%9C%9F0%E5%88%A9%E7%8E%87)-i.481711221.29673683334?extraParams=%7B%22display_model_id%22%3A420066998755%2C%22model_selection_logic%22%3A3%7D&sp_atk=701500fa-7b18-4425-b399-a5434dc35a99&xptdk=701500fa-7b18-4425-b399-a5434dc35a99,https://down-tw.img.susercontent.com/file/tw-11134207-81zte-mi311168ds7cb1_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81zto-megk2dxoycjmf5,【OVO】行動至尊智慧投影機 U10(24期0利率),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/cd93fc9842b085896cfe.png,"19,999",8折,滿額8折,店到家宅配,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,臺南市南區,https://shopee.tw/find_similar_products?catid=100010&itemid=29673683334&shopid=481711221,,,,
https://shopee.tw/%E3%80%90OVO%E3%80%914K%E7%84%A1%E6%A1%86%E9%9B%BB%E8%A6%96-UHD%E6%99%BA%E6%85%A7%E6%8A%95%E5%BD%B1%E6%A9%9F-K9-%E5%A4%AA%E7%A9%BA%E9%BB%91(24%E6%9C%9F0%E5%88%A9%E7%8E%87%E3%80%81%E9%AB%98%E4%BA%AE%E3%80%81%E4%BD%8E%E5%BB%B6%E9%81%B2%E3%80%81%E5%8F%AFK%E6%AD%8C%E3%80%812600ANSI)-i.481711221.29904241158?extraParams=%7B%22display_model_id%22%3A215551693501%2C%22model_selection_logic%22%3A3%7D&sp_atk=41b0bf43-0ab4-4eb9-8b2a-d5b2094566c8&xptdk=41b0bf43-0ab4-4eb9-8b2a-d5b2094566c8,https://down-tw.img.susercontent.com/file/tw-11134207-81ztf-mi31ttlkkzcz68_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81ztk-megk4uathj4711,【OVO】4K無框電視 UHD智慧投影機 K9 太空黑(24期0利率、高亮、低延遲、可K歌、2600ANSI),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/cd93fc9842b085896cfe.png,"38,980",5.9折,滿額8折,加價購,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,4.5,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,臺南市南區,https://shopee.tw/find_similar_products?catid=100010&itemid=29904241158&shopid=481711221,,,,
https://shopee.tw/OVO-K9-OVO-%E7%84%A1%E6%A1%86%E9%9B%BB%E8%A6%96-UHD%E6%99%BA%E6%85%A7%E6%8A%95%E5%BD%B1%E6%A9%9F-%E5%BB%B6%E9%81%B2%E5%8F%AFK%E6%AD%8C-i.1464381.28920380981?extraParams=%7B%22display_model_id%22%3A168596314045%2C%22model_selection_logic%22%3A3%7D&sp_atk=d32a84a1-0b5f-44d1-8681-b0cdeceed929&xptdk=d32a84a1-0b5f-44d1-8681-b0cdeceed929,https://down-tw.img.susercontent.com/file/tw-11134207-7rasb-m5twn9trsal271_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81zte-megk6nurma6c9d,OVO-K9 OVO 無框電視 UHD智慧投影機 延遲可K歌,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/ba4d855d92aae2828365.png,"39,999",,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,臺南市南區,https://shopee.tw/find_similar_products?catid=100010&itemid=28920380981&shopid=1464381,,,,
https://shopee.tw/%E3%80%90OVO%E3%80%911080P%E7%99%BE%E5%90%8B%E7%84%A1%E6%A1%86%E9%9B%BB%E8%A6%96%E9%AB%98%E7%95%AB%E8%B3%AA%E6%99%BA%E6%85%A7%E6%8A%95%E5%BD%B1%E6%A9%9F-K3-E-3D%E5%A2%9E%E5%BC%B7%E7%89%88(3500%E6%B5%81%E6%98%8E-%E6%94%AF%E6%8F%B4%E5%81%B4%E6%8A%95-%E5%A8%9B%E6%A8%82-%E9%9C%B2%E7%87%9F-%E6%88%B6%E5%A4%96-%E5%95%86%E7%94%A8)-i.481711221.20875052618?extraParams=%7B%22display_model_id%22%3A355067201688%2C%22model_selection_logic%22%3A3%7D&sp_atk=f88aede6-6d77-4f3b-84c7-bad92f464322&xptdk=f88aede6-6d77-4f3b-84c7-bad92f464322,https://down-tw.img.susercontent.com/file/tw-11134207-81ztd-mi30tkmxhrt24a_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81ztk-megk4uathj4711,【OVO】1080P百吋無框電視高畫質智慧投影機 K3-E 3D增強版(3500流明 支援側投 娛樂/露營/戶外/商用),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/cd93fc9842b085896cfe.png,"16,999",5.5折,滿額8折,加價購,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,臺南市南區,https://shopee.tw/find_similar_products?catid=100010&itemid=20875052618&shopid=481711221,,,,
https://shopee.tw/%E3%80%90OVO%E3%80%91%E5%B0%8F%E8%98%8B%E6%9E%9C%E6%99%BA%E6%85%A7%E6%8A%95%E5%BD%B1%E6%A9%9F-%E6%97%97%E8%89%A6%E7%89%88-U1-S-i.481711221.26572228927?extraParams=%7B%22display_model_id%22%3A375066974727%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5990f6a-2169-49af-a46f-486c2e20be0b&xptdk=a5990f6a-2169-49af-a46f-486c2e20be0b,https://down-tw.img.susercontent.com/file/tw-11134207-81ztm-mgrnlwxw232hc3_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81zto-megk2dxoycjmf5,【OVO】小蘋果智慧投影機 旗艦版 U1-S,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/cd93fc9842b085896cfe.png,"7,999",5折,"滿額折$1,000",店到家宅配,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,4.7,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,臺南市南區,https://shopee.tw/find_similar_products?catid=100010&itemid=26572228927&shopid=481711221,,,,
https://shopee.tw/OVO-%E5%B0%8F%E8%98%8B%E6%9E%9C-HD-%E8%A1%8C%E5%8B%95%E6%99%BA%E6%85%A7%E6%8A%95%E5%BD%B1%E6%A9%9F-U3-%E9%80%81%E5%BD%B1%E8%A6%96%E5%8D%A1-%E4%BF%9D%E5%9B%BA%E4%B8%80%E5%B9%B4-%E5%BB%A0%E5%95%86%E7%9B%B4%E9%80%81-i.116309859.43460894529?extraParams=%7B%22display_model_id%22%3A139413746864%2C%22model_selection_logic%22%3A3%7D&sp_atk=a00ab5f8-9044-4451-8034-74be0f93ebdb&xptdk=a00ab5f8-9044-4451-8034-74be0f93ebdb,https://down-tw.img.susercontent.com/file/sg-11134301-7rdxt-mch6p3stra9f9e_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81zte-megkbizh2tq957,OVO 小蘋果 HD 行動智慧投影機 U3 送影視卡 保固一年 廠商直送,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/ba4d855d92aae2828365.png,"13,980",8.2折,滿額9.5折,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,桃園市楊梅區,https://shopee.tw/find_similar_products?catid=100010&itemid=43460894529&shopid=116309859,,,,
https://shopee.tw/%E3%80%90OVO%E3%80%91%E2%97%8E%E7%A6%8F%E5%88%A9%E5%93%81%E2%97%8E-1080P%E7%99%BE%E5%90%8B%E6%99%BA%E6%85%A7%E6%8A%95%E5%BD%B1%E6%A9%9F-K3-W(12%E6%9C%9F0%E5%88%A9%E7%8E%87)-i.481711221.27332498124?extraParams=%7B%22display_model_id%22%3A330067227566%2C%22model_selection_logic%22%3A3%7D&sp_atk=3e6c88f2-061d-4db4-8c60-f5e0213494c7&xptdk=3e6c88f2-061d-4db4-8c60-f5e0213494c7,https://down-tw.img.susercontent.com/file/tw-11134207-7rbk3-m8u4tudxf5ye58_tn.webp,https://down-tw.img.susercontent.com/file/tw-11134258-81ztk-megk4uathj4711,【OVO】◎福利品◎ 1080P百吋智慧投影機 K3-W(12期0利率),https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/cd93fc9842b085896cfe.png,"16,999",8.1折,滿額8折,加價購,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/d7099d3fd1dfdaf705ab.svg,5.0,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,臺南市南區,https://shopee.tw/find_similar_products?catid=100010&itemid=27332498124&shopid=481711221,,,,
https://shopee.tw/OVO-1080P-%E8%B6%85%E7%9F%AD%E7%84%A6-%E6%8A%95%E5%BD%B1%E6%A9%9F-KS1-i.175166421.50453185941?extraParams=%7B%22display_model_id%22%3A340306691776%2C%22model_selection_logic%22%3A3%7D&sp_atk=2426dece-fcb9-41ad-9d05-f46048349c79&xptdk=2426dece-fcb9-41ad-9d05-f46048349c79,https://down-tw.img.susercontent.com/file/tw-11134207-81ztm-mibx5l9qpqf7a4_tn.webp,,OVO 1080P 超短焦 投影機 KS1,,"10,000",,,,,,https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.1.94/pc/5dd7b4560d0e2d3190e8.svg,新北市三峽區,https://shopee.tw/find_similar_products?catid=100010&itemid=50453185941&shopid=175166421,,,,
