Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
goods-img-url href (6),fbm-tab-item,edm-edit,edm-edit (2),edm-edit (3),edm-edit (4),edm-edit (5),edm-edit (6),edm-edit (7),edm-edit (8),edm-edit (9),edm-edit (10),edm-edit (11),edm-edit (12),edm-edit (13),edm-edit (14),edm-edit (15),edm-edit (16)
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13326964&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%89%8B%E9%8C%B6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000352,商品規格,?,尺寸：22x44x15mm,【產品規格】,品牌：DTAudio聆翔,型號：DTA-P100,重量：48g,鏡面材質：有機玻璃,錶身材質：ABS材質,螢幕類型：FSTN半透螢幕,錶帶材質：TPU,操作模式：按鍵操作,防水：50米,保固期:1個月,顏色:黑色、橘色、黃色,?,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000225,商品規格,【產品規格】,解析度:240*240px,品牌:聆翔DTAudio,型號:DTA-S50,屏幕尺寸:1.83英吋,機身尺寸:41.2×35×9.8mm,錶帶尺寸:20mm,防水等級:IP65,續航時間:4-6天,適用設備:智慧型手機，不分廠牌都能用,通話功能:無,支援語言:中文、英文、日文、德文、意文、法文、西文,標配:主機、錶帶、磁吸充電線、說明書,NCC認證:CCAP24LP2930T5,保固期:3個月,"
"
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000293,商品規格,,?? 指南針+海拔氣壓計,??戰術手電筒,無論是夜間活動，還是緊急照明，隨時為給您明亮支援。,,指南針指引方向，海拔氣壓計幫助預測天氣，帶您展現勇往直前的戰士風範。,,?? 多維健康監測,全天候守護健康，確保您隨時擁有最佳戰鬥狀態。,,?? 運動模式,MK66X支援100種以上運動，可及時查看數據調整策略，宛如您的最佳軍師。,,??? 高清大螢幕,高清2.1寸TFT高清螢幕，彈指之間，輕鬆綜覽全局。,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000234,商品規格,,【高清全視角 細緻鮮明呈現】,【軍規等級 全機抗震防水防塵】,防水等級達IP68，機身採聚碳酸酯/玻璃纖維加上鋁合金錶框，將高強度/硬度的特性完美呈現，因此不論各種嚴苛運動環境皆能安心使用。,,採用IPS螢幕1.96吋高清解析度 240X280，具有全視角大螢幕，讓畫面呈現更顯細膩清晰，視野更自然；鏡面使用礦物玻璃材質，更透光且兼具耐磨抗滑刮，不需擔心錶面受損。,,【挑戰自我界限】,高達110種以上包含登山/騎車...等多項運動模式功能，並搭配多種傳感器即時監測運動時的速度/距離/步數/卡路里熱量消耗...等體能數據，便於配速調整動力轉換，協助運動愛好者不斷挑戰自我。,,【健康管理 生活好幫手】,具備PPG生物追蹤光學傳感器，一鍵即可量測壓力/呼吸速率/睡眠品質監測/女性生理週期管理，隨時掌握健康狀態，協助調整改善生活作息，維持最佳的生活習慣。,,【AI語音助理】,支援各廠牌手機，一點即可快速喚醒語音助理。,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000606,商品規格,顯示螢幕：1.32英吋AMOLED高清彩屏352ppi,後殼-高分子纖維複合材料,解析度：466x466,材質：,錶殼-前殼不銹鋼表體+金屬錶圈,錶帶：複合編織錶帶,續航力：7天,防水係數：5 ATM,作業系統OS：Android? ６.0及以上；iOS 9.0及以上,內容配件：手錶x1；無線充電底盤x1,產地：中國,保固：一年,NCC認證碼：CCAM24LP1450T8,"
","
",*若資訊有誤請以官網公告為主
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000117,商品規格,【產品規格】,解析度:240*280px,品牌:聆翔DTAudio,型號:DTA-Z60,屏幕尺寸:2.0英吋,主控晶片:臺灣瑞昱晶片 Realtek 8763EW,機身尺寸:38x45x10.8mm,錶帶尺寸:22mm,防水等級:IP67,續航時間:5-7天,適用設備:智慧型手機，不分廠牌都能用,通話功能:藍芽通話,支援語言:中文、英文、韓文、日文、德文、印地語、波蘭、印尼語、土耳其、荷蘭、捷克語,標配:手錶、充電線、說明書,NCC認證:CCAH23LP2480T3,保固期:6個月
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12745419&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E6%89%8B%E9%8C%B6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000610,商品規格,顯示螢幕：1.43英吋 AMOLED高清彩屏326ppi,續航力：14天,解析度：466x466,材質：藍寶石玻璃+前殼不銹鋼表體+金屬錶圈+高分子纖維複合材料後殼,錶帶材質：氟橡膠,防水係數：5 ATM,作業系統OS：Android? ６.0及以上；iOS 9.0及以上,內容配件：手錶x 1；無線充電底盤x 1,產地：中國,保固：一年,NCC認證碼：CCAK24LP1740T0,"
","
",*若資訊有誤請以官網公告為主,,"
"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0003453/goodsDetail/TP00034530000608,商品規格,顯示螢幕：1.32英吋AMOLED高清彩屏352ppi,後殼-高分子纖維複合材料,解析度：466x466,材質：,錶殼-前殼不銹鋼表體+金屬錶圈,錶帶：氟橡膠錶帶,續航力：7天,防水係數：5 ATM,作業系統OS：Android? ６.0及以上；iOS 9.0及以上,內容配件：手錶x1；無線充電底盤x1,產地：中國,保固：一年,NCC認證碼：CCAM24LP1450T8,"
","
",*若資訊有誤請以官網公告為主
https://www.momoshop.com.tw/TP/TP0004248/goodsDetail/TP00042480000287,商品規格,,,,,,"
",APP：GloryFitPro,廠　　牌：FanGu,型　　號：gp56,保　　固：１年【台灣保固】,錶帶尺寸： 2.2 cm,兼容系統：iOS 8.0 & Android 4.4 以上,NCC認證：CCAP25LP2210T5 經國家許可,內 容 物：手錶主機、原廠錶帶、充電線、說明書,??本商品不屬於醫療設備，測量資料的結果僅供參考，,??不可作為醫學診斷資料使用。
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000535,商品規格,?登山｜內建指南針，防止迷路。,品牌：聆翔DTAudio,?運動｜測量距離，準確計算配速與熱量。,?SOS求救｜抬腕撥號，快速求援。,【產品規格】,屏幕尺寸：2.1英吋,解析度：240*296px,尺寸：48.8 x 40 x 12.2mm,重量：約 48g,錶帶：22mm,防水等級：IP65 ?※手錶無法於洗澡、游泳、潛水等長期碰水的環境使用※,續航時間：約5-7天,待機時間：約 45 天,適用設備：智慧型手機，不分廠牌都能用,通話功能：藍芽通話 ?※LINE、FB等網路通話，目前尚不支援※,支援語言：中文、英文、日文、西班牙文、葡萄牙文、德文、法文、義大利文、波蘭、俄文、印尼語、阿拉伯文
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13778829&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E6%89%8B%E9%8C%B6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
https://www.momoshop.com.tw/TP/TP0001204/goodsDetail/TP00012040000292,商品規格,,指南針指引方向，海拔氣壓計幫助預測天氣，帶您展現勇往直前的戰士風範。,??戰術手電筒,無論是夜間活動，還是緊急照明，隨時為給您明亮支援。,?? 指南針+海拔氣壓計,,?? 多維健康監測,全天候守護健康，確保您隨時擁有最佳戰鬥狀態。,,?? 運動模式,MK66X支援100種以上運動，可及時查看數據調整策略，宛如您的最佳軍師。,,??? 高清大螢幕,高清2.1寸TFT高清螢幕，彈指之間，輕鬆綜覽全局。,,?? 超長續航力
https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14314958&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E6%89%8B%E9%8C%B6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
